Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-18 00:00:00+05:30,545.187477602465,551.5268551997676,540.6870304864933,549.25244140625,3944770,0.0,0.0
2015-05-19 00:00:00+05:30,547.8005356569995,552.5430020858967,540.6384555547056,543.3968505859375,6047850,0.0,0.0
2015-05-20 00:00:00+05:30,544.6551098753079,548.6232531951566,538.6060748922414,540.2998046875,4763209,0.0,0.0
2015-05-21 00:00:00+05:30,541.9935454347319,553.6076928369048,541.9935454347319,552.1075439453125,6157883,0.0,0.0
2015-05-22 00:00:00+05:30,552.9302341657868,558.1082440816017,545.623010977419,550.365478515625,4265332,0.0,0.0
2015-05-25 00:00:00+05:30,549.8330747136798,551.4300436204306,542.1871297367073,544.0260009765625,3426379,0.0,0.0
2015-05-26 00:00:00+05:30,544.8971264745791,548.574928302336,540.2514789514854,546.10693359375,2475418,0.0,0.0
2015-05-27 00:00:00+05:30,543.9293016819528,560.8666020012306,543.2034173825551,559.2212524414062,4120709,0.0,0.0
2015-05-28 00:00:00+05:30,560.3342710167416,566.9639903284258,552.0592022264123,556.1725463867188,8272414,0.0,0.0
2015-05-29 00:00:00+05:30,556.9952081044341,568.4157757089075,556.2209433481776,566.576904296875,3421723,0.0,0.0
2015-06-01 00:00:00+05:30,568.0285876278499,569.9642787643256,558.5436538010343,559.8502807617188,3142413,0.0,0.0
2015-06-02 00:00:00+05:30,563.286193871324,563.6733557779442,530.7666021840868,535.3154296875,6978299,0.0,0.0
2015-06-03 00:00:00+05:30,535.4606933168003,536.1865776728556,521.2333481235921,533.186279296875,5114150,0.0,0.0
2015-06-04 00:00:00+05:30,541.9935590580928,541.9935590580928,528.4437200816405,538.5093383789062,7432416,0.0,0.0
2015-06-05 00:00:00+05:30,538.1221433177525,539.3319502946359,528.4920679672391,530.7665405273438,7028734,0.0,0.0
2015-06-08 00:00:00+05:30,529.4116795010287,539.5740609174104,526.5081419534911,535.7994384765625,6286247,0.0,0.0
2015-06-09 00:00:00+05:30,534.299154657416,545.8649214567027,532.7506253177876,540.7353515625,5252618,0.0,0.0
2015-06-10 00:00:00+05:30,540.9290252971613,549.4460562714718,540.880585750494,546.3489379882812,7919473,0.0,0.0
2015-06-11 00:00:00+05:30,549.6396395144639,551.8656729835051,527.5243281015643,529.169677734375,7608358,0.0,0.0
2015-06-12 00:00:00+05:30,529.411580818813,534.7347319970643,523.4109258578983,533.718505859375,5518696,0.0,0.0
2015-06-15 00:00:00+05:30,536.0897668486285,537.1543735094211,527.8146387013377,532.363525390625,5896234,0.0,0.0
2015-06-16 00:00:00+05:30,532.315176385669,536.138179012417,522.685099107441,533.42822265625,6283177,0.0,0.0
2015-06-17 00:00:00+05:30,535.3153541299583,539.4771372845594,529.9922035646455,531.5891723632812,4522392,0.0,0.0
2015-06-18 00:00:00+05:30,533.9604944544286,536.9607925512912,529.798769681401,532.363525390625,5579425,0.0,0.0
2015-06-19 00:00:00+05:30,536.1865415015279,537.5415491704699,530.6214284805284,533.8153076171875,6783585,0.0,0.0
2015-06-22 00:00:00+05:30,538.6545016292129,557.3823509891154,538.6545016292129,553.7529296875,7325101,0.0,0.0
2015-06-23 00:00:00+05:30,557.0919000189986,560.8665214628908,548.0909478134943,552.93017578125,6608481,0.0,0.0
2015-06-24 00:00:00+05:30,553.6077021134076,558.8340921610046,548.9620548892157,553.123779296875,5427984,0.0,0.0
